32,"Cyprus","34562","..","37338","..","41731","..","39857","..","39586","..","36849","..","33871","..","33747","..","35522","..","35832","..","36543"," a"
27,"Czechia","24643","..","26664","..","31666","..","33934","..","33873","..","33921","..","33592","..","34229","..","35914","..","36764","..","38206"," a"
170,"Côte d'Ivoire","3679","..","3844","..","3511","..","3932","..","3655","..","3966","..","4151","..","4468","..","4702","..","4214","..","4409"," a"
11,"Denmark","46127","..","50774","..","54714","..","52607","..","52856","..","52706","..","53254","..","54345","..","54876","..","54822","..","55624"," a"
172,"Djibouti","2890","..","2646","..","2902","..","3398","..","3478","..","3562","..","3665","..","3799","..","3959","..","4132","..","4286"," a"
94,"Dominican Republic","8632","..","10703","..","10647","..","13906","..","13711","..","13796","..","14007","..","14890","..","15732","..","18112","..","18975"," a"
86,"Ecuador","10265","..","9224","..","10946","..","12247","..","13022","..","13441","..","13952","..","14373","..","13873","..","13140","..","13307"," a"
115,"Egypt","10110","..","12300","..","13015","..","15633","..","14494","..","17085","..","15981","..","16119","..","16408","..","16232","..","16489"," a"
121,"El Salvador","8103","..","8532","..","9189","..","9003","..","9061","..","9077","..","8684","..","9117","..","9484","..","9737","..","8722"," a"
141,"Equatorial Guinea","2019","..","11267","..","25523","..","25549","..","26277","..","28105","..","27232","..","26760","..","27682","..","25392","..","23258"," a"
179,"Eritrea","1977","..","2046","..","1939","..","1641","..","1753","..","1841","..","1860","..","1914","..","1964","..","1989","..","2048"," a"
30,"Estonia","15558","..","19065","..","27157","..","27244","..","29537","..","31368","..","32775","..","33926","..","34500","..","35391","..","37043"," a"
144,"Eswatini (Kingdom of)","7609","..","8080","..","9934","..","9281","..","9699","..","9982","..","10116","..","10015","..","9947","..","9744","..","9641"," a"
173,"Ethiopia","..","..","763","..","956","..","1340","..","1451","..","1536","..","1655","..","1773","..","1902","..","1993","..","2136"," a"
92,"Fiji","8889","..","9615","..","9543","..","9348","..","9505","..","9475","..","10042","..","10267","..","10720","..","10645","..","10963"," a"
15,"Finland","32714","..","42248","..","47350","..","46933","..","48465","..","46219","..","46572","..","46087","..","45539","..","46650","..","47691"," a"
24,"France","39574","..","45243","..","46286","..","44654","..","45471","..","44591","..","44451","..","44980","..","45293","..","45628","..","46218"," a"
110,"Gabon","26232","..","21764","..","21609","..","17849","..","17596","..","19135","..","19788","..","21579","..","20936","..","21098","..","20825"," a"
174,"Gambia","1907","..","1961","..","1918","..","2374","..","2190","..","2241","..","2291","..","2233","..","2248","..","1864","..","1870"," a"
70,"Georgia","2824","..","4702","..","7374","..","9169","..","10048","..","10871","..","11075","..","11874","..","11834","..","11942","..","12481"," a"
5,"Germany","44378","..","47371","..","48480","..","50290","..","53260","..","53329","..","52852","..","53396","..","53556","..","53792","..","54843"," a"
140,"Ghana","2373","..","2565","..","3017","..","3511","..","3850","..","4025","..","4324","..","4320","..","4572","..","4602","..","4849"," a"
31,"Greece","30670","..","34000","..","37348","..","35054","..","31585","..","30290","..","29318","..","29316","..","29407","..","29375","..","29796"," a"
127,"Guatemala","8172","..","8460","..","8429","..","8954","..","9393","..","8834","..","9258","..","9426","..","9509","..","9743","..","9869"," a"
175,"Guinea","1374","..","1518","..","1651","..","1673","..","1724","..","1796","..","1829","..","1850","..","1879","..","2004","..","2328"," a"
177,"Guinea-Bissau","1673","..","1639","..","1617","..","1658","..","1767","..","1691","..","1657","..","1724","..","1766","..","1831","..","1843"," a"
125,"Guyana","5066","..","6454","..","7002","..","8409","..","8677","..","9051","..","9302","..","9537","..","10091","..","10040","..","10295"," a"
168,"Haiti","1940","..","2125","..","1861","..","1773","..","1842","..","1874","..","1907","..","1937","..","1930","..","1957","..","1937"," a"
133,"Honduras","4375","..","4629","..","4749","..","4708","..","4885","..","5058","..","4951","..","4877","..","5008","..","5016","..","5159"," a"
7,"Hong Kong, China (SAR)","44410","..","46009","..","54034","..","63181","..","67758","..","66323","..","68752","..","68803","..","70536","..","72205","..","75577"," a,b"
45,"Hungary","19093","..","21671","..","25542","..","26023","..","26664","..","26719","..","27608","..","28212","..","29378","..","30165","..","31413"," a"
6,"Iceland","32667","..","39156","..","45127","..","38415","..","40699","..","42282","..","47286","..","47709","..","49502","..","52809","..","53562"," a"
130,"India","3002","..","3696","..","4638","..","6629","..","7029","..","7336","..","7693","..","8161","..","8714","..","9211","..","9729"," a"
116,"Indonesia","8075","..","7702","..","9018","..","11035","..","11491","..","12014","..","12585","..","13067","..","13371","..","13843","..","14385"," a"
60,"Iran (Islamic Republic of)","22440","..","22734","..","25696","..","30079","..","30701","..","28415","..","28157","..","29130","..","28042","..","30965","..","32017"," a"
120,"Iraq","8507","..","21085","..","18601","..","20893","..","21967","..","24033","..","29017","..","28097","..","28241","..","30386","..","29250"," a"
4,"Ireland","33098","..","44903","..","52436","..","45372","..","45058","..","45121","..","47234","..","51195","..","59106","..","61063","..","64916"," a"
22,"Israel","30240","..","31687","..","32874","..","37623","..","38835","..","38161","..","38743","..","39819","..","39856","..","40373","..","40910"," a"
28,"Italy","46904","..","51038","..","51590","..","46767","..","46736","..","44949","..","44079","..","43638","..","44051","..","44664","..","45326"," a"
97,"Jamaica","10013","..","9972","..","10147","..","9673","..","9842","..","9923","..","9832","..","9872","..","9825","..","9804","..","9812"," a"
19,"Japan","44172","..","46447","..","48919","..","50110","..","49937","..","50532","..","51527","..","51521","..","52236","..","50432","..","51326"," a"
95,"Jordan","11291","..","12511","..","15480","..","15687","..","15238","..","14813","..","14621","..","14385","..","14157","..","14038","..","13971"," a"
58,"Kazakhstan","10585","..","12937","..","20194","..","22730","..","22837","..","23801","..","26095","..","27581","..","29488","..","28088","..","28815"," a"
142,"Kenya","2488","..","2462","..","2682","..","2883","..","2982","..","3018","..","3076","..","3137","..","3230","..","3324","..","3398"," a"
22,"Korea (Republic of)","22011","..","27228","..","33212","..","42024","..","43385","..","44142","..","45046","..","46140","..","47289","..","48148","..","49297"," a"
