Indicator Name:,"Intentional homicide victims by sex, counts and rates per 100,000 population",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator Definition:,Definitions: “Intentional Homicide” means unlawful death inflicted upon a person with the intent to cause death or serious injury. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Total number of female/male victims of intentional homicide,,,,,,,,,,,,,,,,,,"Female/male victims of intentional homicide per 100,000 females/males",,,,,,,,,,,,,,,,
Africa,Eastern Africa,Zambia,GHD Estimate,Males,,,,,,,,,,,,,,,,685,,,,,,,,,,,,,,,,,,8.6,
Africa,Eastern Africa,Zimbabwe,GHD Estimate,Females,,,,,,,,,,,,,154,,,,,,,,,,,,,,,,,,2,,,,
Africa,Eastern Africa,Zimbabwe,GHD Estimate,Males,,,,,,,,,,,,,827,,,,,,,,,,,,,,,,,,11.5,,,,
Africa,Middle Africa,Angola,GHD Estimate,Females,,,,,,,,,,,,,263,,,,,,,,,,,,,,,,,,2.1,,,,
Africa,Middle Africa,Angola,GHD Estimate,Males,,,,,,,,,,,,,954,,,,,,,,,,,,,,,,,,7.8,,,,
Africa,Middle Africa,Cameroon,GHD Estimate,Females,,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,1.5,,,,
Africa,Middle Africa,Cameroon,GHD Estimate,Males,,,,,,,,,,,,,719,,,,,,,,,,,,,,,,,,6.8,,,,
Africa,Middle Africa,Central African Republic,CTS,Females,,,,,,,,,,,,,,,,,243,,,,,,,,,,,,,,,,,,10.4
Africa,Middle Africa,Central African Republic,CTS,Males,,,,,,,,,,,,,,,,,670,,,,,,,,,,,,,,,,,,29.4
Africa,Middle Africa,Chad,GHD Estimate,Females,,,,,,,,,,,,,,,,254,,,,,,,,,,,,,,,,,,3.6,
Africa,Middle Africa,Chad,GHD Estimate,Males,,,,,,,,,,,,,,,,"1,013",,,,,,,,,,,,,,,,,,14.4,
Africa,Middle Africa,Congo,GHD Estimate,Females,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,4.5,
Africa,Middle Africa,Congo,GHD Estimate,Males,,,,,,,,,,,,,,,,353,,,,,,,,,,,,,,,,,,14.1,
Africa,Middle Africa,Democratic Republic of the Congo,GHD Estimate,Females,,,,,,,,,,,,,,,,"1,964",,,,,,,,,,,,,,,,,,5.1,
Africa,Middle Africa,Democratic Republic of the Congo,GHD Estimate,Males,,,,,,,,,,,,,,,,"8,358",,,,,,,,,,,,,,,,,,22,
Africa,Middle Africa,Equatorial Guinea,GHD Estimate,Females,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,0.9,
Africa,Middle Africa,Equatorial Guinea,GHD Estimate,Males,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,3.4,
Africa,Middle Africa,Gabon,GHD Estimate,Females,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,3.2,
Africa,Middle Africa,Gabon,GHD Estimate,Males,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,12.6,
Africa,Middle Africa,Sao Tome and Principe,GHD Estimate,Females,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1.5,,,,,
Africa,Middle Africa,Sao Tome and Principe,GHD Estimate,Males,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,5.2,,,,,
Africa,Northern Africa,Algeria,CTS,Females,,,,,,,,,,,,,,,85,73,,,,,,,,,,,,,,,,,0.4,0.4,
Africa,Northern Africa,Algeria,CTS,Males,,,,,,,,,,,,,,,492,469,,,,,,,,,,,,,,,,,2.5,2.3,
Africa,Northern Africa,Egypt,CTS,Females,,,,,52,63,144,163,110,193,197,331,262,,,,,,,,,,0.1,0.2,0.4,0.4,0.3,0.5,0.5,0.8,0.6,,,,
Africa,Northern Africa,Egypt,CTS,Males,,,,,270,459,405,517,857,719,"1,642","2,372","1,945",,,,,,,,,,0.7,1.2,1,1.3,2.1,1.7,3.9,5.5,4.4,,,,
Africa,Northern Africa,Libya,GHD Estimate,Females,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,1,
Africa,Northern Africa,Libya,GHD Estimate,Males,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,4,
Africa,Northern Africa,Morocco,UNSDC/CTS,Females,,,,,,,,,,53,,,56,66,,97,,,,,,,,,,,,0.3,,,0.3,0.4,,0.6,
Africa,Northern Africa,Morocco,UNSDC/CTS,Males,,,,,,,,,,379,,,327,363,,334,,,,,,,,,,,,2.4,,,2,2.2,,1.9,
Africa,Northern Africa,Sudan,GHD Estimate,Females,,,,,,,,,392,,,,,,,,,,,,,,,,,,2.4,,,,,,,,
Africa,Northern Africa,Sudan,GHD Estimate,Males,,,,,,,,,"1,310",,,,,,,,,,,,,,,,,,8,,,,,,,,
Africa,Northern Africa,Tunisia,GHD Estimate,Females,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,1,,,,
Africa,Northern Africa,Tunisia,GHD Estimate,Males,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,,,5.1,,,,
Africa,Southern Africa,Botswana,GHD Estimate,Females,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,2.5,,,,,,
Africa,Southern Africa,Botswana,GHD Estimate,Males,,,,,,,,,,,278,,,,,,,,,,,,,,,,,,27.9,,,,,,
Africa,Southern Africa,Lesotho,GHD Estimate,Females,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,8.9,
Africa,Southern Africa,Lesotho,GHD Estimate,Males,,,,,,,,,,,,,,,,797,,,,,,,,,,,,,,,,,,75.6,
